,type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal),date,seconds_per_km,speed_per_km,distance_rounded
182,1,2022-01-10 13:39:17+00:00,453,7.246376991271973,0.2500625252723694,1191.0,0.3786733746528625,71.0,2022-01-10 20:39,380.352644836272,06:20.35,1.0
178,1,2022-01-13 09:23:16+00:00,290,2.341920375823975,0.19821605086326602,1004.0,0.2878485918045044,60.0,2022-01-13 16:23,288.8446215139442,04:48.84,1.0
176,1,2022-02-03 10:41:12+00:00,265,0.6090134382247925,0.1992825716733932,1001.0,0.2637362778186798,39.0,2022-02-03 17:41,264.73526473526476,04:24.74,1.0
172,1,2022-02-05 11:46:47+00:00,283,0.6910849809646606,0.2290425896644592,1006.0,0.2803180813789368,50.0,2022-02-05 18:46,281.3121272365805,04:41.31,1.0
169,1,2022-02-06 11:36:48+00:00,272,0.6361322999000549,0.2324500232934952,1013.0,0.2675222158432007,34.0,2022-02-06 18:36,268.50937808489635,04:28.51,1.0
166,1,2022-02-11 11:49:54+00:00,264,0.7880220413208008,0.1980197876691818,1004.0,0.2599601447582245,39.0,2022-02-11 18:49,262.9482071713147,04:22.95,1.0
163,1,2022-02-12 11:25:02+00:00,259,0.5571030974388123,0.1928268522024155,1011.0,0.2551928758621216,44.0,2022-02-12 18:25,256.18199802176065,04:16.18,1.0
161,1,2022-02-13 11:09:12+00:00,256,0.5760368704795837,0.1939864158630371,1000.0,0.2549999952316284,37.0,2022-02-13 18:09,256.0,04:16.00,1.0
157,1,2022-02-14 11:50:09+00:00,287,0.7446016073226929,0.2586652934551239,1002.0,0.2854291498661041,43.0,2022-02-14 18:50,286.4271457085828,04:46.43,1.0
155,1,2022-02-16 11:12:40+00:00,284,2.164502143859863,0.1834189295768738,1001.0,0.2827172875404358,60.0,2022-02-16 18:12,283.7162837162837,04:43.72,1.0
152,1,2022-03-05 00:10:22+00:00,282,0.6153846383094788,0.2082899361848831,1006.0,0.2793240547180176,55.0,2022-03-05 07:10,280.3180914512923,04:40.32,1.0
150,1,2022-03-18 11:26:11+00:00,282,0.8748906254768372,0.2371916472911835,1005.0,0.2796019911766052,47.0,2022-03-18 18:26,280.5970149253731,04:40.60,1.0
146,1,2022-03-28 11:45:13+00:00,311,0.638977587223053,0.2149151116609573,1046.0,0.2963671088218689,57.0,2022-03-28 18:45,297.32313575525814,04:57.32,1.0
