type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
6,2022-06-30 12:35:45+0000,877,2.183406114578247,0.4395604133605957,1180.0,0.7415254237288136,114.9846038818359
1,2022-06-30 12:31:18+0000,239,0.6544502377510071,0.1648261100053787,1001.0,0.2367632367632368,36.82282638549805
6,2022-06-30 12:01:46+0000,1395,5.208333492279053,0.5512679219245911,1680.0,0.8279761904761904,170.7522277832031
6,2022-06-29 12:09:37+0000,1423,2.7173912525177,0.331895112991333,2003.0,0.709435846230654,168.7037811279297
1,2022-06-29 12:02:34+0000,231,0.5452562570571899,0.1936483383178711,1003.0,0.2283150548354935,33.62038803100586
6,2022-06-29 11:38:07+0000,1111,0.8271298408508301,0.1290655583143234,1882.0,0.5892667375132837,119.7217636108398
6,2022-06-28 11:11:56+0000,1943,2.881844282150269,0.5382131338119507,2416.0,0.8029801324503312,218.6030578613281
1,2022-06-28 11:07:21+0000,235,0.4755111932754517,0.1835872977972031,1003.0,0.2323030907278165,39.64669418334961
6,2022-06-28 10:35:28+0000,1277,1.76678454875946,0.5777007937431335,1708.0,0.7464871194379391,129.0
6,2022-06-27 11:50:22+0000,1256,2.066115617752075,0.1546072959899902,1976.0,0.6351214574898786,177.3815155029297
1,2022-06-27 11:45:38+0000,239,0.624609649181366,0.1815211474895477,1002.0,0.2365269461077844,48.67057800292969
6,2022-06-27 11:21:16+0000,1132,2.202643156051636,0.4340277910232544,1826.0,0.6193866374589266,136.8016662597656
6,2022-06-25 00:37:56+0000,6479,4.566210269927979,0.1822821646928787,9649.0,0.6707430821846824,885.1824951171875
6,2022-06-25 00:16:44+0000,840,1.440922141075134,0.2174385786056519,1716.0,0.4889277389277389,118.9355239868164
6,2022-06-23 11:22:16+0000,1556,5.4347825050354,0.3014772534370422,2583.0,0.6016260162601627,183.2168121337891
1,2022-06-23 11:16:47+0000,245,0.6269592642784119,0.1883239150047302,1003.0,0.2422731804586241,49.75709533691406
6,2022-06-23 10:55:14+0000,1053,1.949317693710327,0.4750593900680542,1714.0,0.6131855309218203,163.6604766845703
6,2022-06-21 12:28:12+0000,1608,2.695417881011963,0.4286326766014099,2292.0,0.6985165794066318,250.9680480957031
1,2022-06-21 12:23:33+0000,247,0.5321980118751526,0.1881467550992966,1009.0,0.242814667988107,45.0
6,2022-06-21 12:01:40+0000,1059,4.048583030700684,0.4025765061378479,1782.0,0.5931537598204265,143.0
6,2022-06-18 01:04:07+0000,6150,2.873563289642334,0.2464875429868698,8395.0,0.732459797498511,774.0
6,2022-06-18 00:35:48+0000,1277,2.5252525806427,0.1957713514566422,2295.0,0.5555555555555556,192.9684143066406
6,2022-06-17 11:08:18+0000,2352,8.849557876586914,0.1886080652475357,3058.0,0.7674950948332243,259.9014282226562
1,2022-06-17 11:03:58+0000,243,0.4712535440921783,0.1802451312541962,1002.0,0.2405189620758483,48.66097259521484
1,2022-06-17 10:57:44+0000,30,0.5790387988090515,0.2126754522323608,125.0,0.232,4.012659549713135
6,2022-06-17 10:28:16+0000,1501,5.319149017333984,0.396668016910553,1933.0,0.7754785307811691,155.2282562255859
6,2022-06-16 11:07:53+0000,2215,5.076142311096191,0.1824817508459091,3070.0,0.7205211726384365,307.959228515625
1,2022-06-16 11:03:28+0000,243,0.5763688683509827,0.1971220225095749,1002.0,0.2405189620758483,33.65047073364258
1,2022-06-16 10:56:49+0000,68,0.7745933532714844,0.2085070908069611,293.0,0.2286689419795222,8.063364028930664
6,2022-06-16 10:25:38+0000,1463,2.506265640258789,0.5503576993942261,1833.0,0.7970540098199672,146.2836761474609
6,2022-06-15 12:47:55+0000,1864,1.369863033294678,0.3166561126708984,3003.0,0.6203796203796204,232.0163726806641
6,2022-06-15 11:52:54+0000,1171,2.994012117385864,0.2044989764690399,2005.0,0.5830423940149626,169.3257904052734
1,2022-06-15 11:46:25+0000,249,0.5219206809997559,0.1885369569063187,1011.0,0.2443125618199802,47.91866683959961
6,2022-06-15 11:22:42+0000,1147,1.27226459980011,0.4436557292938232,1813.0,0.631549917264203,124.5349044799805
6,2022-06-14 13:59:42+0000,2343,2.314814805984497,0.2092050164937973,3877.0,0.6038173845757029,318.0751037597656
6,2022-06-14 12:08:07+0000,1917,2.386634826660156,0.2430724501609802,3143.0,0.6092904867960547,291.0
1,2022-06-14 12:03:23+0000,259,0.5627462267875671,0.1934984475374222,1003.0,0.2562313060817548,56.05161285400391
6,2022-06-14 11:42:50+0000,1036,3.773585081100464,0.4906771183013916,1750.0,0.5914285714285714,103.7179718017578
6,2022-06-12 10:52:17+0000,1573,2.638522386550903,0.5714285969734192,2050.0,0.7663414634146342,162.0105285644531
1,2022-06-12 10:47:29+0000,251,0.6472492218017578,0.2004811614751816,1006.0,0.2475149105367793,51.78847885131836
6,2022-06-12 10:18:38+0000,1492,1.406469702720642,0.2221235036849976,1910.0,0.7806282722513089,140.2628631591797
24,2022-06-12 10:05:59+0000,684,0.0,1.800000071525574,0.0,0.0,45.0
6,2022-06-11 10:42:47+0000,2351,6.896552085876465,0.2228164076805115,3000.0,0.7816666666666666,239.0
1,2022-06-11 10:38:27+0000,237,0.5175983309745789,0.1971220225095749,1001.0,0.2347652347652348,30.81564140319824
6,2022-06-11 10:11:35+0000,1359,2.92397665977478,0.1575795710086823,1812.0,0.7488962472406181,147.4778442382812
6,2022-06-04 11:44:32+0000,1196,1.70648455619812,0.4081632494926453,1860.0,0.6424731182795699,167.9302215576172
1,2022-06-04 11:38:21+0000,245,0.5980861186981201,0.2102165222167969,1001.0,0.2427572427572428,51.81399536132812
6,2022-06-04 11:17:13+0000,1074,2.232142686843872,0.275862067937851,1880.0,0.5707446808510638,133.3164367675781
6,2022-06-03 11:08:45+0000,2892,2.695417881011963,0.5015045404434204,3089.0,0.935901586273875,221.0260925292969
1,2022-06-03 11:03:24+0000,251,0.8257638812065125,0.162680983543396,1003.0,0.2482552342971087,45.20206069946289
6,2022-06-03 10:41:37+0000,1265,2.949852705001831,0.4784689247608185,2011.0,0.6280457483838886,164.7203521728516
6,2022-05-31 11:47:54+0000,1632,2.994012117385864,0.3095017075538635,2637.0,0.6177474402730375,166.5786285400391
1,2022-05-31 11:42:33+0000,261,0.5512679219245911,0.202963262796402,1006.0,0.257455268389662,49.91259765625
6,2022-05-31 10:30:18+0000,2313,3.460207462310791,0.3858024775981903,3641.0,0.6322438890414721,278.7836608886719
6,2022-05-30 12:00:54+0000,2689,2.48138952255249,0.1946661472320557,2829.0,0.9494521032166844,212.1686248779297
